brown_login,source,brown_id,user_found,found_through,student_status_code,employment_status,employee_type,emp_status_date,student_separation,affiliate_status,affiliate_start,affiliate_end,blocked_reason
apaulso4,Workday,140814678,found,{'brown_login': 'apaulso4'},,A,F,09/01/2025,,N,04/11/2025,08/31/2025,
jrpeters,Workday,040053026,found,{'brown_login': 'jrpeters'},,A,M,04/01/2018,,,,,
mpielech,Workday,140239476,found,{'brown_login': 'mpielech'},,A,M,07/01/2026,,,,,
eplunke1,Workday,140663211,found,{'brown_login': 'eplunke1'},,A,E,06/30/2023,,,,,
jpopp1,Workday,140236669,found,{'brown_login': 'jpopp1'},,A,F,07/01/2022,,,,,
lporter7,Workday,140824146,found,{'brown_login': 'lporter7'},,A,E,08/29/2025,,,,,
cpratty,Workday,140364791,found,{'brown_login': 'cpratty'},,P,E,03/16/2020,,,,,
eqazilba,Workday,140317150,found,{'brown_login': 'eqazilba'},,A,F,11/01/2019,,,,,
zqian4,Workday,140048268,found,{'brown_login': 'zqian4'},,A,F,09/01/2015,,,,,
dquinte2,Workday,140817767,found,{'brown_login': 'dquinte2'},,A,F,09/01/2025,,,,,
arabasc2,Workday,140564771,found,{'brown_login': 'arabasc2'},,A,M,06/01/2026,,,,,
aragaven,Workday,140124782,found,{'brown_login': 'aragaven'},,A,E,11/14/2016,,,,,
erausche,Workday,140227421,found,{'brown_login': 'erausche'},,A,F,07/01/2018,,,,,
lresnikp,Workday,010144586,found,{'brown_login': 'lresnikp'},,A,F,07/15/2002,,,,,
prisciad,Workday,010066403,found,{'brown_login': 'prisciad'},,P,F,07/01/1998,,,,,
marobert,Workday,020172901,found,{'brown_login': 'marobert'},,A,M,07/01/2020,,N,10/08/2021,10/08/2022,
srobles6,Workday,140826323,found,{'brown_login': 'srobles6'},,A,F,09/01/2025,,,,,
brodri26,Workday,140652441,found,{'brown_login': 'brodri26'},,A,N,08/30/2024,,N,04/03/2024,04/03/2025,
krogers7,Workday,140312821,found,{'brown_login': 'krogers7'},,A,E,07/22/2019,,,,,
mrosenda,Workday,010203039,found,{'brown_login': 'mrosenda'},,A,E,07/10/2006,,,,,
esalomak,Workday,140593354,found,{'brown_login': 'esalomak'},,A,E,11/22/2022,,,,,
msalvat1,Workday,140120062,found,{'brown_login': 'msalvat1'},,P,E,09/01/2016,,,,,
fsantell,Workday,140755196,found,{'brown_login': 'fsantell'},,A,F,08/01/2024,,,,,
isarkar,Workday,140049966,found,{'brown_login': 'isarkar'},,A,F,07/01/2015,,,,,
msauerbr,Workday,140173872,found,{'brown_login': 'msauerbr'},,A,M,08/01/2020,,N,01/26/2021,01/26/2022,
lschlich,Workday,140121191,found,{'brown_login': 'lschlich'},,A,E,09/01/2016,,,,,
cschmid,Workday,010567438,found,{'brown_login': 'cschmid'},,A,F,06/01/2012,,,,,
mschmied,Workday,140448590,found,{'brown_login': 'mschmied'},,A,E,04/05/2021,,,,,
nschwa13,Workday,140315904,found,{'brown_login': 'nschwa13'},,A,F,08/15/2019,,,,,
eshaaya,Workday,140173877,found,{'brown_login': 'eshaaya'},,A,M,10/01/2025,,N,07/01/2025,07/01/2026,
sshar104,Workday,140442278,found,{'brown_login': 'sshar104'},,A,E,01/17/2023,,,,,
ashephe5,Workday,140582106,found,{'brown_login': 'ashephe5'},,A,E,10/24/2022,,,,,
sushort,Workday,010049182,found,{'brown_login': 'sushort'},,A,F,07/01/1997,,,,,
lshu,Workday,100797697,found,{'brown_login': 'lshu'},,A,M,07/01/2025,,,,,
ksiddle,Workday,140581464,found,{'brown_login': 'ksiddle'},,A,F,01/01/2023,,N,12/21/2022,02/01/2023,
msilve15,Workday,140458822,found,{'brown_login': 'msilve15'},,A,F,11/01/2021,,,,,
bsmith83,Workday,140828369,found,{'brown_login': 'bsmith83'},,A,F,02/12/2026,,Y,09/04/2025,09/03/2026,
wsmith20,Workday,140563790,found,{'brown_login': 'wsmith20'},,A,E,04/04/2022,,,,,
sgsmith,Workday,010436760,found,{'brown_login': 'sgsmith'},,A,E,06/24/2010,,,,,
asoepria,Workday,140348571,found,{'brown_login': 'asoepria'},,A,F,02/01/2021,,,,,
ysong42,Workday,140182007,found,{'brown_login': 'ysong42'},,A,E,09/18/2017,,,,,
tsouza,Workday,010069102,found,{'brown_login': 'tsouza'},,A,E,10/25/2001,,,,,
aspirito,Workday,010029234,found,{'brown_login': 'aspirito'},,A,M,09/01/2001,,,,,
ssrinath,Workday,140375563,found,{'brown_login': 'ssrinath'},,A,F,09/01/2020,,,,,
astpierr,Workday,140458680,found,{'brown_login': 'astpierr'},,A,E,09/20/2021,,,,,
lsteven4,Workday,140073299,found,{'brown_login': 'lsteven4'},,A,E,01/04/2016,,,,,
pstey,Workday,140108707,found,{'brown_login': 'pstey'},,A,E,04/18/2016,,,,,
astumper,Workday,140449078,found,{'brown_login': 'astumper'},,A,M,06/01/2026,,,,,
ssun33,Workday,140239512,found,{'brown_login': 'ssun33'},,A,F,04/01/2020,,,,,
jtao9,Workday,140234137,found,{'brown_login': 'jtao9'},,A,M,04/01/2018,,N,12/17/2018,11/30/2019,
ttarui,Workday,140594839,found,{'brown_login': 'ttarui'},,A,M,12/01/2022,,N,12/01/2022,12/01/2023,
ptejeda,Workday,140298142,found,{'brown_login': 'ptejeda'},,A,E,02/18/2019,,,,,
rterra,Workday,010029500,found,{'brown_login': 'rterra'},,A,E,10/01/1991,,,,,
mthangar,Workday,140470358,found,{'brown_login': 'mthangar'},,A,E,11/15/2021,,,,,
dtommet,Workday,010682967,found,{'brown_login': 'dtommet'},,A,E,11/01/2013,,,,,
atovar,Workday,010518105,found,{'brown_login': 'atovar'},,A,F,01/01/2022,,,,,
jtrepan1,Workday,140482171,found,{'brown_login': 'jtrepan1'},,A,E,01/03/2022,,,,,
ttrikali,Workday,010565570,found,{'brown_login': 'ttrikali'},,A,F,03/12/2012,,,,,
atrivedi,Workday,010199680,found,{'brown_login': 'atrivedi'},,A,F,07/01/2006,,,,,
luebelac,Workday,010116716,found,{'brown_login': 'luebelac'},,A,M,07/01/2018,,,,,
auzun,Workday,020373041,found,{'brown_login': 'auzun'},,A,M,01/16/2023,,N,09/02/2009,09/01/2011,
dgamsiz,Workday,010413589,found,{'brown_login': 'dgamsiz'},,A,M,07/01/2026,,,,,
cventetu,Workday,020040365,found,{'brown_login': 'cventetu'},,A,M,07/01/2018,,N,06/08/1996,07/28/1996,
tash1,Workday,140246202,found,{'brown_login': 'tash1'},,A,F,08/01/2018,,,,,
eewaite,Workday,140750309,found,{'brown_login': 'eewaite'},,A,F,08/01/2025,,,,,
edwalker,Workday,140452257,found,{'brown_login': 'edwalker'},,A,F,07/01/2021,,,,,
cwardle,Workday,140482312,found,{'brown_login': 'cwardle'},,A,F,07/01/2024,,,,,
tw32,Workday,020574972,found,{'brown_login': 'tw32'},,A,F,07/01/2012,,N,04/01/2012,05/22/2012,
jwei63,Workday,140661337,found,{'brown_login': 'jwei63'},,A,E,06/01/2023,,,,,
dweil,Workday,010029903,found,{'brown_login': 'dweil'},,P,F,07/01/1990,,,,,
lweinsto,Workday,010169970,found,{'brown_login': 'lweinsto'},,A,M,07/01/2005,,,,,
rweisber,Workday,010044081,found,{'brown_login': 'rweisber'},,A,M,07/01/2015,,,,,
rwightma,Workday,140169365,found,{'brown_login': 'rwightma'},,A,M,07/01/2023,,,,,
owisco,Workday,140381960,found,{'brown_login': 'owisco'},,A,M,07/01/2021,,N,08/18/2020,08/17/2021,
lwolfe,Workday,010023766,found,{'brown_login': 'lwolfe'},,A,E,08/28/1989,,,,,
jw33,Workday,010249485,found,{'brown_login': 'jw33'},,A,M,07/01/2018,,,,,
hwuphd,Workday,010131041,found,{'brown_login': 'hwuphd'},,A,M,07/01/2008,,,,,
jyang340,Workday,140659490,found,{'brown_login': 'jyang340'},,A,F,07/01/2023,,,,,
syenphd,Workday,010067679,found,{'brown_login': 'syenphd'},,A,M,10/01/2019,,,,,
pzhangmd,Workday,010133556,found,{'brown_login': 'pzhangmd'},,A,M,07/01/2017,,,,,
dwzhou,Workday,140578808,found,{'brown_login': 'dwzhou'},,A,F,09/01/2022,,,,,
tzink,Workday,140244246,found,{'brown_login': 'tzink'},,A,M,01/25/2023,,,,,
czlotnic,Workday,010035007,found,{'brown_login': 'czlotnic'},,A,M,07/01/2009,,N,02/14/2022,07/30/2022,
ezorfass,Workday,140375299,found,{'brown_login': 'ezorfass'},,A,E,07/01/2020,,,,,
azsom,Workday,140068497,found,{'brown_login': 'azsom'},,A,F,12/01/2015,,,,,
svc_borton_xsync,,,not_found,,,,,,,,,,No user found based on provided information.
svc_braintrust_xsync,,,not_found,,,,,,,,,,No user found based on provided information.
ccvdemo1,,,not_found,,,,,,,,,,No user found based on provided information.
ccvdemo2,,,not_found,,,,,,,,,,No user found based on provided information.
svc_cdc01_xsync,,,not_found,,,,,,,,,,No user found based on provided information.
ursacron,,,not_found,,,,,,,,,,No user found based on provided information.
ccvdemo,,,not_found,,,,,,,,,,No user found based on provided information.
svc_dev_xsync,,,not_found,,,,,,,,,,No user found based on provided information.
adm_yelzahab,,,not_found,,,,,,,,,,No user found based on provided information.
svc_glob,,,not_found,,,,,,,,,,No user found based on provided information.
adm_ajasti,,,not_found,,,,,,,,,,No user found based on provided information.
adm_npaudel,,,not_found,,,,,,,,,,No user found based on provided information.
adm_apaul35,,,not_found,,,,,,,,,,No user found based on provided information.
rppl01,,,not_found,,,,,,,,,,No user found based on provided information.
svc_ursa_xsync,,,not_found,,,,,,,,,,No user found based on provided information.
test040,,,not_found,,,,,,,,,,No user found based on provided information.
adm_nw5,,,not_found,,,,,,,,,,No user found based on provided information.
